,precision,recall,f1-score,support
0,0.9977573127312499,0.9914358221379518,0.994586522848527,345976.0
1,0.9648308605341246,0.9906042067805698,0.9775476826129832,82058.0
accuracy,0.9912763939313232,0.9912763939313232,0.9912763939313232,0.9912763939313232
macro avg,0.9812940866326872,0.9910200144592608,0.986067102730755,428034.0
weighted avg,0.9914450132073996,0.9912763939313232,0.9913200226358143,428034.0
