Modelo,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC
LogisticRegression,0.9315031048935365,0.8015552633083652,0.8541763143142656,0.8270296100953966,0.9592510877128828,0.6843529774328833
RandomForest,0.9913955433446876,0.9665456277159354,0.9893611835530965,0.9778203344715242,0.9994002103608334,0.9973276525109813
XGBoost,0.9912763939313232,0.9648308605341246,0.9906042067805698,0.9775476826129832,0.9993511796928098,0.9971097302368321
